prompt_clean,prompt_corrupted,io_name,s_name,distractor_name,template_type,template_idx,place,object_noun,io_token_id,s_token_id,prompt_type,logit_io,logit_s,logit_diff,prob_io,prob_s,is_correct,rank_io,top_1_prediction,top_k_predictions,top_k_logits
"When David and Henry visited the restaurant, Henry handed the letter to","When David and Harry visited the restaurant, Harry handed the letter to",David,Henry,Harry,ABB,1,the restaurant,letter,3271,8616,clean,15.092305,13.17704,1.915265,0.2053335,0.03024619,True,1,David,David | the | his | a | them,15.0923 | 14.9083 | 14.0141 | 13.7023 | 13.6447
"While Victor and Harry were at the library, Victor delivered the bag to","While Brian and Harry were at the library, Brian delivered the bag to",Harry,Victor,Brian,BAB,5,the library,bag,5850,12622,clean,16.481428,13.210356,3.271072,0.49265805,0.0187041,True,1,Harry,Harry | the | his | a | Victor,16.4814 | 14.8728 | 14.4329 | 13.2429 | 13.2104
"As Tara and Quinn walked through the station, Tara offered the note to","As Wendy and Quinn walked through the station, Wendy offered the note to",Quinn,Tara,Wendy,BAB,6,the station,note,16109,37723,clean,15.832197,12.166719,3.665478,0.38204846,0.00977736,True,1,Quinn,Quinn | her | the | them | a,15.8322 | 14.6853 | 14.5643 | 12.8891 | 12.7935
"When Bob and Jack visited the market, Jack handed the phone to","When Bob and Paul visited the market, Paul handed the phone to",Bob,Jack,Paul,ABB,1,the market,phone,5811,3619,clean,15.942373,13.427624,2.51475,0.3091796,0.02500742,True,1,Bob,Bob | the | his | them | a,15.9424 | 14.6711 | 14.1686 | 13.9494 | 13.8032
"While Victor and Mia were at the hospital, Victor delivered the phone to","While Olivia and Mia were at the hospital, Olivia delivered the phone to",Mia,Victor,Olivia,BAB,5,the hospital,phone,32189,12622,clean,14.278469,13.790309,0.48816,0.14201343,0.08716139,True,1,Mia,Mia | the | his | Victor | her,14.2785 | 14.1348 | 13.9802 | 13.7903 | 13.3418
"When Ella and Paul visited the park, Paul handed the gift to","When Ella and Amy visited the park, Amy handed the gift to",Ella,Paul,Amy,ABB,1,the park,gift,7122,3362,clean,15.889171,12.851851,3.03732,0.38459897,0.01844662,True,1,Ell,Ell | the | her | his | a,15.8892 | 14.5122 | 14.3342 | 13.8025 | 13.6084
"After Brian and Grace left the gym, Brian sent the phone to","After Paul and Grace left the gym, Paul sent the phone to",Grace,Brian,Paul,BAB,3,the gym,phone,16156,8403,clean,14.851851,14.100822,0.751028,0.16698806,0.07879853,True,1,Grace,Grace | his | the | Brian | her,14.8519 | 14.4358 | 14.2875 | 14.1008 | 13.6062
"While Xander and Fred were at the theater, Xander delivered the book to","While Derek and Fred were at the theater, Derek delivered the book to",Fred,Xander,Derek,BAB,5,the theater,book,8559,46122,clean,15.405118,13.670374,1.734744,0.19051488,0.03361546,True,1,Fred,Fred | the | his | a | Xander,15.4051 | 14.8601 | 14.6904 | 13.8293 | 13.6704
"Once Ella and Iris were at the store, Iris brought the trophy to","Once Ella and Clara were at the store, Clara brought the trophy to",Ella,Iris,Clara,ABB,4,the store,trophy,7122,34230,clean,13.842491,13.591093,0.251398,0.05200848,0.04044766,True,3,her,her | the | Ell | them | Iris,15.2584 | 14.8292 | 13.8425 | 13.6520 | 13.5911
"When Xander and Mia went to the school, Mia gave the package to","When Xander and Emma went to the school, Emma gave the package to",Xander,Mia,Emma,ABB,0,the school,package,46122,32189,clean,16.926968,10.791304,6.135664,0.64267993,0.00139094,True,1,Xander,Xander | the | her | them | him,16.9270 | 14.5619 | 14.2026 | 13.5938 | 13.4691
"When Derek and Clara visited the cafe, Derek handed the key to","When Quinn and Clara visited the cafe, Quinn handed the key to",Clara,Derek,Quinn,BAB,1,the cafe,key,27443,20893,clean,16.352823,8.834849,7.517974,0.46489,0.00025254,True,1,Clara,Clara | the | his | a | their,16.3528 | 15.5779 | 14.4018 | 13.6153 | 13.5599
"After Paul and Alice left the office, Alice sent the ticket to","After Paul and Quinn left the office, Quinn sent the ticket to",Paul,Alice,Quinn,ABB,3,the office,ticket,3362,14862,clean,16.174833,13.70952,2.465313,0.42706355,0.03629282,True,1,Paul,Paul | the | her | Alice | Ron,16.1748 | 14.3883 | 13.8813 | 13.7095 | 12.9065
"As Paul and Grace walked through the school, Grace offered the pen to","As Paul and Tara walked through the school, Tara offered the pen to",Paul,Grace,Tara,ABB,6,the school,pen,3362,16156,clean,16.574337,12.356266,4.218071,0.59322274,0.00873641,True,1,Paul,Paul | the | her | a | one,16.5743 | 14.3597 | 13.5419 | 13.2511 | 13.0533
"Once Paul and Kate were at the store, Kate brought the card to","Once Paul and Tara were at the store, Tara brought the card to",Paul,Kate,Tara,ABB,4,the store,card,3362,16693,clean,16.384937,12.882151,3.502787,0.3581962,0.01078649,True,1,Paul,Paul | her | the | them | me,16.3849 | 15.1437 | 15.0548 | 14.3400 | 14.2148
"Once Liam and Tara were at the cafe, Tara brought the book to","Once Liam and Zach were at the cafe, Zach brought the book to",Liam,Tara,Zach,ABB,4,the cafe,book,31684,37723,clean,14.544718,13.096998,1.44772,0.06430607,0.01511873,True,5,her,her | him | the | them | Liam,15.7453 | 15.1068 | 14.9942 | 14.9875 | 14.5447
"As Kate and Ella walked through the museum, Kate offered the pen to","As Olivia and Ella walked through the museum, Olivia offered the pen to",Ella,Kate,Olivia,BAB,6,the museum,pen,7122,16693,clean,15.085159,12.295044,2.790115,0.20515803,0.0125996,True,1,Ell,Ell | her | the | a | one,15.0852 | 15.0047 | 14.0423 | 13.7454 | 13.1348
"When Victor and Clara arrived at the gym, Victor passed the card to","When Quinn and Clara arrived at the gym, Quinn passed the card to",Clara,Victor,Quinn,BAB,2,the gym,card,27443,12622,clean,17.339598,11.833364,5.506233,0.7604996,0.00308868,True,1,Clara,Clara | the | his | her | a,17.3396 | 14.3732 | 14.2716 | 13.6848 | 13.3170
"When Noah and David went to the station, David gave the bag to","When Noah and Isla went to the station, Isla gave the bag to",Noah,David,Isla,ABB,0,the station,bag,18394,3271,clean,18.146811,13.8025,4.344311,0.78347248,0.01016983,True,1,Noah,Noah | the | them | his | David,18.1468 | 15.0220 | 14.6637 | 14.1975 | 13.8025
"When Wendy and Tara visited the beach, Tara handed the jacket to","When Wendy and Zach visited the beach, Zach handed the jacket to",Wendy,Tara,Zach,ABB,1,the beach,jacket,28314,37723,clean,17.936714,13.509927,4.426787,0.73534834,0.00878949,True,1,Wendy,Wendy | her | the | Tara | a,17.9367 | 15.4503 | 15.0179 | 13.5099 | 13.4590
"While Brian and Iris were at the gym, Iris delivered the wallet to","While Brian and Quinn were at the gym, Quinn delivered the wallet to",Brian,Iris,Quinn,ABB,5,the gym,wallet,8403,34230,clean,16.459469,12.93092,3.528549,0.55619007,0.01632277,True,1,Brian,Brian | the | her | them | Iris,16.4595 | 14.2679 | 14.1070 | 13.4644 | 12.9309
"Once Quinn and Carol were at the park, Carol brought the trophy to","Once Quinn and Derek were at the park, Derek brought the trophy to",Quinn,Carol,Derek,ABB,4,the park,trophy,16109,5074,clean,14.766594,13.060369,1.706224,0.12130272,0.0220225,True,2,her,her | Quinn | the | them | Carol,15.3329 | 14.7666 | 14.7505 | 13.1943 | 13.0604
"When Alice and Xander went to the store, Alice gave the book to","When Jack and Xander went to the store, Jack gave the book to",Xander,Alice,Jack,BAB,0,the store,book,46122,14862,clean,17.342754,12.296144,5.04661,0.59262824,0.00381125,True,1,Xander,Xander | her | the | them | a,17.3428 | 15.3848 | 15.1300 | 14.6001 | 14.0678
"After David and Alice left the station, David sent the note to","After Yara and Alice left the station, Yara sent the note to",Alice,David,Yara,BAB,3,the station,note,14862,3271,clean,16.612686,11.758633,4.854053,0.51664877,0.00402816,True,1,Alice,Alice | his | the | her | a,16.6127 | 14.8364 | 14.1542 | 13.5979 | 12.7562
"Once Grace and Iris were at the mall, Iris brought the letter to","Once Grace and Alice were at the mall, Alice brought the letter to",Grace,Iris,Alice,ABB,4,the mall,letter,16156,34230,clean,14.079264,12.369985,1.709279,0.09192917,0.01663883,True,3,her,her | the | Grace | them | Iris,14.6011 | 14.4033 | 14.0793 | 13.5069 | 12.3700
"When Quinn and Tara went to the museum, Quinn gave the map to","When Liam and Tara went to the museum, Liam gave the map to",Tara,Quinn,Liam,BAB,0,the museum,map,37723,16109,clean,15.776093,13.454069,2.322023,0.35526052,0.03484216,True,1,Tara,Tara | her | the | them | Quinn,15.7761 | 14.8109 | 14.6210 | 13.8506 | 13.4541
"Once Ella and David were at the office, David brought the card to","Once Ella and Iris were at the office, Iris brought the card to",Ella,David,Iris,ABB,4,the office,card,7122,3271,clean,15.268059,13.124846,2.143213,0.1345192,0.01577606,True,1,Ell,Ell | the | her | his | me,15.2681 | 15.0941 | 14.9194 | 14.5517 | 14.2555
"As Grace and Yara walked through the cafe, Grace offered the pen to","As Ella and Yara walked through the cafe, Ella offered the pen to",Yara,Grace,Ella,BAB,6,the cafe,pen,575,16156,clean,15.388095,11.742926,3.645169,0.28638729,0.00747957,True,1,Y,Y | her | the | a | one,15.3881 | 14.5039 | 14.3467 | 13.7980 | 12.8787
"After Sam and Gina left the cafe, Gina sent the ticket to","After Sam and Rose left the cafe, Rose sent the ticket to",Sam,Gina,Rose,ABB,3,the cafe,ticket,3409,43002,clean,14.630378,11.977044,2.653334,0.17726366,0.01248221,True,1,Sam,Sam | the | her | a | his,14.6304 | 14.2138 | 13.9856 | 12.7277 | 11.9985
"Once Rose and Sam were at the school, Sam brought the card to","Once Rose and Henry were at the school, Henry brought the card to",Rose,Sam,Henry,ABB,4,the school,card,8049,3409,clean,15.981931,13.879485,2.102446,0.30808654,0.03763502,True,1,Rose,Rose | the | her | Sam | his,15.9819 | 15.0081 | 14.3883 | 13.8795 | 13.7753
"As Kate and Uma walked through the library, Uma offered the ticket to","As Kate and Mia walked through the library, Mia offered the ticket to",Kate,Uma,Mia,ABB,6,the library,ticket,16693,471,clean,15.824227,14.61739,1.206838,0.26747063,0.08001164,True,1,Kate,Kate | the | her | U | them,15.8242 | 14.7157 | 14.6455 | 14.6174 | 14.2824
"When Quinn and Frank went to the park, Quinn gave the package to","When Emma and Frank went to the park, Emma gave the package to",Frank,Quinn,Emma,BAB,0,the park,package,5278,16109,clean,16.522915,13.211442,3.311473,0.53659284,0.01956548,True,1,Frank,Frank | the | her | his | Quinn,16.5229 | 14.6893 | 14.4247 | 13.6864 | 13.2114
"Once Zach and Tara were at the cafe, Tara brought the card to","Once Zach and Victor were at the cafe, Victor brought the card to",Zach,Tara,Victor,ABB,4,the cafe,card,18825,37723,clean,15.075457,13.543731,1.531726,0.15014683,0.03245608,True,1,Zach,Zach | her | the | them | him,15.0755 | 14.8756 | 14.7040 | 14.3585 | 13.8249
"When Kate and Brian went to the gym, Kate gave the package to","When David and Brian went to the gym, David gave the package to",Brian,Kate,David,BAB,0,the gym,package,8403,16693,clean,17.120066,11.731701,5.388365,0.57783258,0.00264037,True,1,Brian,Brian | her | the | them | a,17.1201 | 15.6170 | 14.8354 | 13.7827 | 13.6855
"When Olivia and Amy visited the museum, Olivia handed the trophy to","When Uma and Amy visited the museum, Uma handed the trophy to",Amy,Olivia,Uma,BAB,1,the museum,trophy,14235,33911,clean,16.57156,12.3495,4.22206,0.34282917,0.00502875,True,1,Amy,Amy | her | the | a | them,16.5716 | 16.1637 | 15.4894 | 14.0549 | 13.7401
"When Zach and Clara arrived at the store, Zach passed the note to","When Brian and Clara arrived at the store, Brian passed the note to",Clara,Zach,Brian,BAB,2,the store,note,27443,18825,clean,16.921268,9.707453,7.213816,0.63086236,0.00046453,True,1,Clara,Clara | his | the | her | a,16.9213 | 14.8419 | 14.4798 | 13.8454 | 13.8075
"When Liam and Quinn went to the beach, Quinn gave the note to","When Liam and Carol went to the beach, Carol gave the note to",Liam,Quinn,Carol,ABB,0,the beach,note,31684,16109,clean,16.467709,12.246518,4.22119,0.58966577,0.00865698,True,1,Liam,Liam | the | her | his | him,16.4677 | 14.1895 | 13.9978 | 12.8830 | 12.8019
"When Derek and Jack visited the office, Jack handed the jacket to","When Derek and Quinn visited the office, Quinn handed the jacket to",Derek,Jack,Quinn,ABB,1,the office,jacket,20893,3619,clean,17.208303,12.77829,4.430014,0.65421528,0.00779453,True,1,Derek,Derek | the | them | his | a,17.2083 | 15.0388 | 14.1685 | 13.7309 | 13.5990
"Once Derek and Xander were at the school, Xander brought the phone to","Once Derek and David were at the school, David brought the phone to",Derek,Xander,David,ABB,4,the school,phone,20893,46122,clean,15.010977,13.267654,1.743322,0.08906374,0.01558065,True,4,his,his | the | him | Derek | them,16.2081 | 15.4014 | 15.1505 | 15.0110 | 14.2590
"While Alice and Victor were at the restaurant, Victor delivered the letter to","While Alice and Iris were at the restaurant, Iris delivered the letter to",Alice,Victor,Iris,ABB,5,the restaurant,letter,14862,12622,clean,15.229224,12.764063,2.465161,0.24528748,0.02084824,True,1,Alice,Alice | the | her | his | Victor,15.2292 | 14.3274 | 14.3199 | 13.2422 | 12.7641
"When Olivia and Amy arrived at the store, Amy passed the card to","When Olivia and Tara arrived at the store, Tara passed the card to",Olivia,Amy,Tara,ABB,2,the store,card,33911,14235,clean,16.009922,14.097559,1.912363,0.25627908,0.03786034,True,1,Olivia,Olivia | her | the | a | Amy,16.0099 | 15.6111 | 14.8755 | 14.6451 | 14.0976
"Once Ella and Paul were at the library, Paul brought the note to","Once Ella and Derek were at the library, Derek brought the note to",Ella,Paul,Derek,ABB,4,the library,note,7122,3362,clean,16.463791,13.465378,2.998413,0.37359059,0.01862952,True,1,Ell,Ell | her | the | his | them,16.4638 | 14.9399 | 14.6545 | 14.2819 | 14.1290
"After Rose and Harry left the cafe, Rose sent the trophy to","After Iris and Harry left the cafe, Iris sent the trophy to",Harry,Rose,Iris,BAB,3,the cafe,trophy,5850,8049,clean,16.577047,12.245458,4.33159,0.49539477,0.00651277,True,1,Harry,Harry | her | the | Hermione | his,16.5770 | 14.7253 | 14.5007 | 13.5733 | 13.3296
"After Brian and Fred left the gym, Fred sent the note to","After Brian and Frank left the gym, Frank sent the note to",Brian,Fred,Frank,ABB,3,the gym,note,8403,8559,clean,15.667233,13.497421,2.169812,0.31364661,0.03581815,True,1,Brian,Brian | his | the | Fred | him,15.6672 | 14.4285 | 13.8515 | 13.4974 | 12.9025
"As Rose and Jack walked through the gym, Jack offered the gift to","As Rose and Noah walked through the gym, Noah offered the gift to",Rose,Jack,Noah,ABB,6,the gym,gift,8049,3619,clean,16.999617,13.061411,3.938206,0.62749702,0.01222561,True,1,Rose,Rose | the | his | her | them,16.9996 | 14.5930 | 14.5715 | 14.2343 | 13.2230
"After Wendy and Yara left the library, Wendy sent the key to","After Grace and Yara left the library, Grace sent the key to",Yara,Wendy,Grace,BAB,3,the library,key,575,28314,clean,14.991308,13.674383,1.316925,0.22088924,0.05918904,True,1,Y,Y | her | the | Wendy | a,14.9913 | 14.7014 | 14.5636 | 13.6744 | 12.8515
"As Sam and Tara walked through the library, Tara offered the ticket to","As Sam and Fred walked through the library, Fred offered the ticket to",Sam,Tara,Fred,ABB,6,the library,ticket,3409,37723,clean,15.559986,12.525288,3.034698,0.24781339,0.01191714,True,1,Sam,Sam | the | her | them | a,15.5600 | 14.8785 | 13.9834 | 13.7112 | 13.6749
"While Zach and Harry were at the station, Zach delivered the phone to","While Bob and Harry were at the station, Bob delivered the phone to",Harry,Zach,Bob,BAB,5,the station,phone,5850,18825,clean,14.31082,10.021335,4.289485,0.14443465,0.00198049,True,1,Harry,Harry | the | his | a | their,14.3108 | 14.2513 | 13.8597 | 13.0982 | 11.9734
"After Amy and Kate left the gym, Amy sent the card to","After Fred and Kate left the gym, Fred sent the card to",Kate,Amy,Fred,BAB,3,the gym,card,16693,14235,clean,14.958567,14.454499,0.504067,0.11615776,0.07016727,True,2,her,her | Kate | the | Amy | a,15.7540 | 14.9586 | 14.5053 | 14.4545 | 13.3887
"As Frank and Tara walked through the mall, Frank offered the ticket to","As Sam and Tara walked through the mall, Sam offered the ticket to",Tara,Frank,Sam,BAB,6,the mall,ticket,37723,5278,clean,14.626754,12.154759,2.471994,0.14580064,0.01230795,True,2,the,the | Tara | them | their | a,14.9059 | 14.6268 | 13.8215 | 13.3471 | 13.3174
"After Quinn and Isla left the gym, Isla sent the phone to","After Quinn and Henry left the gym, Henry sent the phone to",Quinn,Isla,Henry,ABB,3,the gym,phone,16109,1148,clean,15.281878,12.239264,3.042614,0.32045829,0.01528907,True,1,Quinn,Quinn | her | the | his | a,15.2819 | 14.4152 | 13.7480 | 13.1122 | 12.6952
"While Xander and Zach were at the restaurant, Zach delivered the package to","While Xander and Uma were at the restaurant, Uma delivered the package to",Xander,Zach,Uma,ABB,5,the restaurant,package,46122,18825,clean,15.234406,13.491118,1.743287,0.19536683,0.03417833,True,1,Xander,Xander | his | the | Zach | a,15.2344 | 14.7699 | 14.6577 | 13.4911 | 13.3949
"After Clara and Mia left the store, Clara sent the jacket to","After Brian and Mia left the store, Brian sent the jacket to",Mia,Clara,Brian,BAB,3,the store,jacket,32189,27443,clean,14.148386,10.779025,3.369361,0.14452727,0.00497342,True,2,her,her | Mia | the | a | his,14.3666 | 14.1484 | 13.8921 | 12.5816 | 11.3719
"As Quinn and Sam walked through the store, Quinn offered the jacket to","As Jack and Sam walked through the store, Jack offered the jacket to",Sam,Quinn,Jack,BAB,6,the store,jacket,3409,16109,clean,16.723049,12.398516,4.324533,0.57515299,0.00761487,True,1,Sam,Sam | the | her | a | one,16.7230 | 14.6521 | 14.3943 | 13.8461 | 13.1050
"Once Yara and Frank were at the hospital, Frank brought the letter to","Once Yara and Paul were at the hospital, Paul brought the letter to",Yara,Frank,Paul,ABB,4,the hospital,letter,575,5278,clean,14.434705,12.702568,1.732137,0.11352543,0.02008333,True,1,Y,Y | the | her | them | his,14.4347 | 14.2821 | 13.9562 | 13.6204 | 13.2739
"When Gina and Amy went to the park, Amy gave the bag to","When Gina and Grace went to the park, Grace gave the bag to",Gina,Amy,Grace,ABB,0,the park,bag,43002,14235,clean,17.803205,15.402864,2.400341,0.64966375,0.05891607,True,1,Gina,Gina | her | Amy | the | them,17.8032 | 15.5057 | 15.4029 | 15.1042 | 13.9576
"As Jack and Ella walked through the park, Jack offered the package to","As Xander and Ella walked through the park, Xander offered the package to",Ella,Jack,Xander,BAB,6,the park,package,7122,3619,clean,16.421482,12.000983,4.420499,0.45266342,0.00544474,True,1,Ell,Ell | the | his | her | them,16.4215 | 14.6791 | 14.4118 | 14.2610 | 13.6014
"When Rose and Frank arrived at the school, Rose passed the note to","When Zach and Frank arrived at the school, Zach passed the note to",Frank,Rose,Zach,BAB,2,the school,note,5278,8049,clean,16.431433,11.043674,5.387759,0.50424379,0.00230551,True,1,Frank,Frank | her | the | his | a,16.4314 | 14.9932 | 14.6936 | 13.9682 | 13.3642
"When Olivia and Yara went to the museum, Olivia gave the phone to","When Quinn and Yara went to the museum, Quinn gave the phone to",Yara,Olivia,Quinn,BAB,0,the museum,phone,575,33911,clean,15.452759,13.220987,2.231771,0.2353211,0.02525892,True,1,Y,Y | her | the | a | Olivia,15.4528 | 14.9329 | 14.7043 | 13.9311 | 13.2210
"As Xander and Kate walked through the cafe, Kate offered the letter to","As Xander and Henry walked through the cafe, Henry offered the letter to",Xander,Kate,Henry,ABB,6,the cafe,letter,46122,16693,clean,17.426908,11.855278,5.57163,0.69910204,0.00265957,True,1,Xander,Xander | the | her | Buffy | Giles,17.4269 | 14.6758 | 14.5390 | 13.6049 | 13.5605
"As Mia and Henry walked through the school, Henry offered the note to","As Mia and Carol walked through the school, Carol offered the note to",Mia,Henry,Carol,ABB,6,the school,note,32189,8616,clean,16.1399,11.919595,4.220305,0.41553357,0.00610591,True,1,Mia,Mia | the | her | his | them,16.1399 | 14.5580 | 14.3956 | 14.0039 | 13.2882
"When David and Gina visited the theater, David handed the card to","When Liam and Gina visited the theater, Liam handed the card to",Gina,David,Liam,BAB,1,the theater,card,43002,3271,clean,16.70731,12.111406,4.595903,0.47603637,0.00480468,True,1,Gina,Gina | the | his | her | a,16.7073 | 15.1544 | 14.7819 | 14.7572 | 14.2389
"Once Zach and Iris were at the beach, Zach brought the book to","Once Emma and Iris were at the beach, Emma brought the book to",Iris,Zach,Emma,BAB,4,the beach,book,34230,18825,clean,15.860458,11.030101,4.830358,0.31769681,0.00253639,True,1,Iris,Iris | the | his | him | her,15.8605 | 14.9246 | 14.4193 | 14.2346 | 14.0611
"When Harry and Carol visited the mall, Carol handed the map to","When Harry and Olivia visited the mall, Olivia handed the map to",Harry,Carol,Olivia,ABB,1,the mall,map,5850,5074,clean,16.588818,11.743184,4.845634,0.39955255,0.00314154,True,1,Harry,Harry | them | the | him | her,16.5888 | 15.1013 | 15.0768 | 14.6589 | 14.0295
"Once Uma and Bob were at the library, Bob brought the wallet to","Once Uma and Noah were at the library, Noah brought the wallet to",Uma,Bob,Noah,ABB,4,the library,wallet,471,5811,clean,14.42417,13.88588,0.53829,0.07674403,0.04479899,True,3,the,the | her | U | them | his,14.9395 | 14.7861 | 14.4242 | 14.3129 | 14.2040
"When Clara and Brian went to the park, Brian gave the trophy to","When Clara and Alice went to the park, Alice gave the trophy to",Clara,Brian,Alice,ABB,0,the park,trophy,27443,8403,clean,17.252527,13.265142,3.987385,0.59655178,0.01106494,True,1,Clara,Clara | her | the | his | a,17.2525 | 14.9849 | 14.6395 | 14.3212 | 13.8170
"After Bob and Wendy left the mall, Bob sent the ticket to","After Iris and Wendy left the mall, Iris sent the ticket to",Wendy,Bob,Iris,BAB,3,the mall,ticket,28314,5811,clean,17.116045,13.783237,3.332808,0.64011145,0.02284732,True,1,Wendy,Wendy | the | his | Bob | a,17.1160 | 14.6710 | 14.2972 | 13.7832 | 13.4335
"When Fred and Kate visited the beach, Fred handed the note to","When Frank and Kate visited the beach, Frank handed the note to",Kate,Fred,Frank,BAB,1,the beach,note,16693,8559,clean,17.933025,11.271812,6.661213,0.72578585,0.00092871,True,1,Kate,Kate | the | his | her | them,17.9330 | 15.2010 | 15.0507 | 14.7983 | 13.8192
"Once Olivia and Sam were at the gym, Olivia brought the package to","Once Alice and Sam were at the gym, Alice brought the package to",Sam,Olivia,Alice,BAB,4,the gym,package,3409,33911,clean,15.303981,12.788378,2.515603,0.14186996,0.0114651,True,2,her,her | Sam | the | them | him,15.8340 | 15.3040 | 15.2041 | 14.3798 | 13.6026
"When Ella and Harry arrived at the library, Harry passed the pen to","When Ella and Clara arrived at the library, Clara passed the pen to",Ella,Harry,Clara,ABB,2,the library,pen,7122,5850,clean,14.985262,13.923995,1.061267,0.12086451,0.0418212,True,1,Ell,Ell | her | his | the | Hermione,14.9853 | 14.6224 | 14.6069 | 14.5768 | 14.5518
"As Clara and Noah walked through the station, Clara offered the gift to","As Sam and Noah walked through the station, Sam offered the gift to",Noah,Clara,Sam,BAB,6,the station,gift,18394,27443,clean,16.955196,10.851785,6.103412,0.68002045,0.00152,True,1,Noah,Noah | her | the | a | them,16.9552 | 14.8929 | 14.5447 | 12.7748 | 12.6991
"After Zach and Xander left the store, Xander sent the pen to","After Zach and Carol left the store, Carol sent the pen to",Zach,Xander,Carol,ABB,3,the store,pen,18825,46122,clean,13.728272,13.309763,0.418509,0.08432892,0.0554907,True,2,the,the | Zach | his | Xander | a,13.9194 | 13.7283 | 13.6509 | 13.3098 | 12.4266
"When Bob and Rose arrived at the station, Rose passed the wallet to","When Bob and Liam arrived at the station, Liam passed the wallet to",Bob,Rose,Liam,ABB,2,the station,wallet,5811,8049,clean,16.57004,13.501734,3.068306,0.56557065,0.02629896,True,1,Bob,Bob | the | her | Rose | a,16.5700 | 14.2908 | 13.5178 | 13.5017 | 13.2501
"While Olivia and Iris were at the restaurant, Olivia delivered the wallet to","While Grace and Iris were at the restaurant, Grace delivered the wallet to",Iris,Olivia,Grace,BAB,5,the restaurant,wallet,34230,33911,clean,15.448979,12.539001,2.909979,0.26900527,0.01465457,True,1,Iris,Iris | her | the | a | Olivia,15.4490 | 14.9559 | 14.7051 | 13.5869 | 12.5390
"After Emma and Liam left the theater, Liam sent the pen to","After Emma and Fred left the theater, Fred sent the pen to",Emma,Liam,Fred,ABB,3,the theater,pen,18966,31684,clean,16.883751,13.832526,3.051225,0.61981905,0.02931803,True,1,Emma,Emma | his | the | Liam | her,16.8838 | 13.8941 | 13.8435 | 13.8325 | 13.6450
"When Henry and Quinn visited the beach, Quinn handed the key to","When Henry and Clara visited the beach, Clara handed the key to",Henry,Quinn,Clara,ABB,1,the beach,key,8616,16109,clean,16.573488,14.347199,2.226289,0.58042216,0.06264394,True,1,Henry,Henry | the | Quinn | her | his,16.5735 | 14.8316 | 14.3472 | 13.5407 | 13.2135
"When Tara and Paul visited the mall, Paul handed the pen to","When Tara and David visited the mall, David handed the pen to",Tara,Paul,David,ABB,1,the mall,pen,37723,3362,clean,17.244869,11.95657,5.2883,0.68917304,0.00348056,True,1,Tara,Tara | the | her | a | them,17.2449 | 14.6252 | 14.5231 | 13.7742 | 13.6318
"When Sam and Grace visited the gym, Sam handed the ticket to","When Emma and Grace visited the gym, Emma handed the ticket to",Grace,Sam,Emma,BAB,1,the gym,ticket,16156,3409,clean,16.375748,12.269977,4.105771,0.47723073,0.00786348,True,1,Grace,Grace | the | his | her | a,16.3757 | 14.8948 | 14.1260 | 13.9063 | 13.8744
"While Yara and Amy were at the station, Amy delivered the card to","While Yara and Isla were at the station, Isla delivered the card to",Yara,Amy,Isla,ABB,5,the station,card,575,14235,clean,14.711119,14.421351,0.289767,0.13188632,0.0987087,True,1,Y,Y | Amy | the | her | a,14.7111 | 14.4214 | 14.4014 | 14.3115 | 13.0321
"Once Sam and Uma were at the school, Sam brought the note to","Once Rose and Uma were at the school, Rose brought the note to",Uma,Sam,Rose,BAB,4,the school,note,471,3409,clean,15.783443,14.229948,1.553495,0.25499594,0.05393352,True,1,U,U | his | her | the | Sam,15.7834 | 14.8772 | 14.6270 | 14.4292 | 14.2299
"When Amy and Isla visited the store, Amy handed the jacket to","When Quinn and Isla visited the store, Quinn handed the jacket to",Isla,Amy,Quinn,BAB,1,the store,jacket,1148,14235,clean,15.985506,14.174736,1.81077,0.28845766,0.04717096,True,1,Is,Is | her | the | Amy | a,15.9855 | 15.3029 | 15.1508 | 14.1747 | 13.5979
"As Mia and Liam walked through the theater, Liam offered the phone to","As Mia and Jack walked through the theater, Jack offered the phone to",Mia,Liam,Jack,ABB,6,the theater,phone,32189,31684,clean,16.396906,12.406499,3.990407,0.44883069,0.00829986,True,1,Mia,Mia | her | the | them | his,16.3969 | 14.4991 | 14.3618 | 13.8884 | 13.6386
"When Isla and Derek went to the office, Derek gave the card to","When Isla and Amy went to the office, Amy gave the card to",Isla,Derek,Amy,ABB,0,the office,card,1148,20893,clean,14.25266,12.761155,1.491505,0.11387143,0.02562492,True,2,the,the | Is | his | a | them,14.4071 | 14.2527 | 13.8376 | 13.0664 | 12.9847
"When Brian and Liam went to the station, Brian gave the pen to","When Zach and Liam went to the station, Zach gave the pen to",Liam,Brian,Zach,BAB,0,the station,pen,31684,8403,clean,16.082481,12.405293,3.677188,0.45379841,0.01147838,True,1,Liam,Liam | the | his | a | them,16.0825 | 14.3778 | 14.1040 | 13.7222 | 13.3902
"After Alice and Uma left the beach, Alice sent the gift to","After Noah and Uma left the beach, Noah sent the gift to",Uma,Alice,Noah,BAB,3,the beach,gift,471,14862,clean,15.808875,13.575025,2.23385,0.2914212,0.03121564,True,1,U,U | her | the | Alice | a,15.8089 | 15.5897 | 14.2051 | 13.5750 | 13.0222
"Once Grace and Kate were at the museum, Grace brought the wallet to","Once Noah and Kate were at the museum, Noah brought the wallet to",Kate,Grace,Noah,BAB,4,the museum,wallet,16693,16156,clean,15.578577,11.673735,3.904842,0.2194878,0.00442139,True,2,the,the | Kate | her | them | a,15.5848 | 15.5786 | 15.1922 | 13.5714 | 13.4379
