prompt,speaker_name,recipient_name,pronoun,template_idx,target_token_id,foil_token_id,speaker_gender
Liam thanked Rose warmly. He wrote a letter for,Liam,Rose,He,4,8049,31684,M
Iris surprised Zach at the party. She baked a cake for,Iris,Zach,She,5,18825,34230,F
Sam recommended Mia for the job. He wrote a reference for,Sam,Mia,He,6,32189,3409,M
Kate met Sam at the store. She bought a gift for,Kate,Sam,She,0,3409,16693,F
Bob visited Tara at home. He brought flowers for,Bob,Tara,He,1,37723,5811,M
Iris called Frank on the phone. She left a message for,Iris,Frank,She,2,5278,34230,F
Paul helped Gina move. He carried the boxes for,Paul,Gina,He,3,43002,3362,M
Olivia thanked Harry warmly. She wrote a letter for,Olivia,Harry,She,4,5850,33911,F
Paul surprised Gina at the party. He baked a cake for,Paul,Gina,He,5,43002,3362,M
Rose recommended Harry for the job. She wrote a reference for,Rose,Harry,She,6,5850,8049,F
Fred met Alice at the store. He bought a gift for,Fred,Alice,He,0,14862,8559,M
Emma visited Victor at home. She brought flowers for,Emma,Victor,She,1,12622,18966,F
Paul called Olivia on the phone. He left a message for,Paul,Olivia,He,2,33911,3362,M
Gina helped Paul move. She carried the boxes for,Gina,Paul,She,3,3362,43002,F
Victor thanked Clara warmly. He wrote a letter for,Victor,Clara,He,4,27443,12622,M
Amy surprised Zach at the party. She baked a cake for,Amy,Zach,She,5,18825,14235,F
Harry recommended Tara for the job. He wrote a reference for,Harry,Tara,He,6,37723,5850,M
Tara met Zach at the store. She bought a gift for,Tara,Zach,She,0,18825,37723,F
Derek visited Gina at home. He brought flowers for,Derek,Gina,He,1,43002,20893,M
Tara called Xander on the phone. She left a message for,Tara,Xander,She,2,46122,37723,F
Zach helped Gina move. He carried the boxes for,Zach,Gina,He,3,43002,18825,M
Rose thanked Sam warmly. She wrote a letter for,Rose,Sam,She,4,3409,8049,F
Victor surprised Kate at the party. He baked a cake for,Victor,Kate,He,5,16693,12622,M
Iris recommended Henry for the job. She wrote a reference for,Iris,Henry,She,6,8616,34230,F
Noah met Mia at the store. He bought a gift for,Noah,Mia,He,0,32189,18394,M
Emma visited Liam at home. She brought flowers for,Emma,Liam,She,1,31684,18966,F
Noah called Iris on the phone. He left a message for,Noah,Iris,He,2,34230,18394,M
Gina helped Harry move. She carried the boxes for,Gina,Harry,She,3,5850,43002,F
Sam thanked Gina warmly. He wrote a letter for,Sam,Gina,He,4,43002,3409,M
Amy surprised Victor at the party. She baked a cake for,Amy,Victor,She,5,12622,14235,F
Henry recommended Iris for the job. He wrote a reference for,Henry,Iris,He,6,34230,8616,M
Kate met Paul at the store. She bought a gift for,Kate,Paul,She,0,3362,16693,F
Zach visited Grace at home. He brought flowers for,Zach,Grace,He,1,16156,18825,M
Kate called Bob on the phone. She left a message for,Kate,Bob,She,2,5811,16693,F
Jack helped Kate move. He carried the boxes for,Jack,Kate,He,3,16693,3619,M
Alice thanked David warmly. She wrote a letter for,Alice,David,She,4,3271,14862,F
Victor surprised Gina at the party. He baked a cake for,Victor,Gina,He,5,43002,12622,M
Grace recommended Harry for the job. She wrote a reference for,Grace,Harry,She,6,5850,16156,F
Henry met Alice at the store. He bought a gift for,Henry,Alice,He,0,14862,8616,M
Amy visited Victor at home. She brought flowers for,Amy,Victor,She,1,12622,14235,F
Harry called Rose on the phone. He left a message for,Harry,Rose,He,2,8049,5850,M
Rose helped Xander move. She carried the boxes for,Rose,Xander,She,3,46122,8049,F
Liam thanked Alice warmly. He wrote a letter for,Liam,Alice,He,4,14862,31684,M
Kate surprised Harry at the party. She baked a cake for,Kate,Harry,She,5,5850,16693,F
Henry recommended Emma for the job. He wrote a reference for,Henry,Emma,He,6,18966,8616,M
Olivia met Harry at the store. She bought a gift for,Olivia,Harry,She,0,5850,33911,F
Frank visited Amy at home. He brought flowers for,Frank,Amy,He,1,14235,5278,M
Clara called David on the phone. She left a message for,Clara,David,She,2,3271,27443,F
Jack helped Grace move. He carried the boxes for,Jack,Grace,He,3,16156,3619,M
Amy thanked Victor warmly. She wrote a letter for,Amy,Victor,She,4,12622,14235,F
Frank surprised Iris at the party. He baked a cake for,Frank,Iris,He,5,34230,5278,M
Emma recommended Derek for the job. She wrote a reference for,Emma,Derek,She,6,20893,18966,F
Paul met Tara at the store. He bought a gift for,Paul,Tara,He,0,37723,3362,M
Olivia visited Fred at home. She brought flowers for,Olivia,Fred,She,1,8559,33911,F
Fred called Kate on the phone. He left a message for,Fred,Kate,He,2,16693,8559,M
Amy helped Derek move. She carried the boxes for,Amy,Derek,She,3,20893,14235,F
Victor thanked Amy warmly. He wrote a letter for,Victor,Amy,He,4,14235,12622,M
Amy surprised David at the party. She baked a cake for,Amy,David,She,5,3271,14235,F
Henry recommended Iris for the job. He wrote a reference for,Henry,Iris,He,6,34230,8616,M
Clara met Noah at the store. She bought a gift for,Clara,Noah,She,0,18394,27443,F
Sam visited Clara at home. He brought flowers for,Sam,Clara,He,1,27443,3409,M
Emma called Liam on the phone. She left a message for,Emma,Liam,She,2,31684,18966,F
Paul helped Grace move. He carried the boxes for,Paul,Grace,He,3,16156,3362,M
Tara thanked Frank warmly. She wrote a letter for,Tara,Frank,She,4,5278,37723,F
Liam surprised Alice at the party. He baked a cake for,Liam,Alice,He,5,14862,31684,M
Olivia recommended Fred for the job. She wrote a reference for,Olivia,Fred,She,6,8559,33911,F
Harry met Kate at the store. He bought a gift for,Harry,Kate,He,0,16693,5850,M
Alice visited Paul at home. She brought flowers for,Alice,Paul,She,1,3362,14862,F
Victor called Gina on the phone. He left a message for,Victor,Gina,He,2,43002,12622,M
Kate helped Fred move. She carried the boxes for,Kate,Fred,She,3,8559,16693,F
Frank thanked Clara warmly. He wrote a letter for,Frank,Clara,He,4,27443,5278,M
Iris surprised Sam at the party. She baked a cake for,Iris,Sam,She,5,3409,34230,F
Noah recommended Olivia for the job. He wrote a reference for,Noah,Olivia,He,6,33911,18394,M
Emma met Paul at the store. She bought a gift for,Emma,Paul,She,0,3362,18966,F
Jack visited Kate at home. He brought flowers for,Jack,Kate,He,1,16693,3619,M
Grace called Frank on the phone. She left a message for,Grace,Frank,She,2,5278,16156,F
David helped Grace move. He carried the boxes for,David,Grace,He,3,16156,3271,M
Kate thanked Victor warmly. She wrote a letter for,Kate,Victor,She,4,12622,16693,F
Fred surprised Emma at the party. He baked a cake for,Fred,Emma,He,5,18966,8559,M
Rose recommended Victor for the job. She wrote a reference for,Rose,Victor,She,6,12622,8049,F
Brian met Kate at the store. He bought a gift for,Brian,Kate,He,0,16693,8403,M
Tara visited Harry at home. She brought flowers for,Tara,Harry,She,1,5850,37723,F
Fred called Emma on the phone. He left a message for,Fred,Emma,He,2,18966,8559,M
Amy helped David move. She carried the boxes for,Amy,David,She,3,3271,14235,F
Derek thanked Gina warmly. He wrote a letter for,Derek,Gina,He,4,43002,20893,M
Mia surprised Sam at the party. She baked a cake for,Mia,Sam,She,5,3409,32189,F
Bob recommended Emma for the job. He wrote a reference for,Bob,Emma,He,6,18966,5811,M
Iris met Bob at the store. She bought a gift for,Iris,Bob,She,0,5811,34230,F
Sam visited Amy at home. He brought flowers for,Sam,Amy,He,1,14235,3409,M
Alice called Liam on the phone. She left a message for,Alice,Liam,She,2,31684,14862,F
Harry helped Tara move. He carried the boxes for,Harry,Tara,He,3,37723,5850,M
Clara thanked Fred warmly. She wrote a letter for,Clara,Fred,She,4,8559,27443,F
Sam surprised Grace at the party. He baked a cake for,Sam,Grace,He,5,16156,3409,M
Amy recommended Derek for the job. She wrote a reference for,Amy,Derek,She,6,20893,14235,F
Harry met Emma at the store. He bought a gift for,Harry,Emma,He,0,18966,5850,M
Rose visited Zach at home. She brought flowers for,Rose,Zach,She,1,18825,8049,F
Derek called Mia on the phone. He left a message for,Derek,Mia,He,2,32189,20893,M
Mia helped Henry move. She carried the boxes for,Mia,Henry,She,3,8616,32189,F
Liam thanked Mia warmly. He wrote a letter for,Liam,Mia,He,4,32189,31684,M
Olivia surprised Harry at the party. She baked a cake for,Olivia,Harry,She,5,5850,33911,F
Victor recommended Clara for the job. He wrote a reference for,Victor,Clara,He,6,27443,12622,M
Olivia met David at the store. She bought a gift for,Olivia,David,She,0,3271,33911,F
Fred visited Emma at home. He brought flowers for,Fred,Emma,He,1,18966,8559,M
Mia called Sam on the phone. She left a message for,Mia,Sam,She,2,3409,32189,F
Xander helped Emma move. He carried the boxes for,Xander,Emma,He,3,18966,46122,M
Olivia thanked Bob warmly. She wrote a letter for,Olivia,Bob,She,4,5811,33911,F
Fred surprised Olivia at the party. He baked a cake for,Fred,Olivia,He,5,33911,8559,M
Alice recommended Noah for the job. She wrote a reference for,Alice,Noah,She,6,18394,14862,F
Zach met Amy at the store. He bought a gift for,Zach,Amy,He,0,14235,18825,M
Rose visited Fred at home. She brought flowers for,Rose,Fred,She,1,8559,8049,F
David called Iris on the phone. He left a message for,David,Iris,He,2,34230,3271,M
Kate helped Jack move. She carried the boxes for,Kate,Jack,She,3,3619,16693,F
Victor thanked Rose warmly. He wrote a letter for,Victor,Rose,He,4,8049,12622,M
Gina surprised Harry at the party. She baked a cake for,Gina,Harry,She,5,5850,43002,F
Henry recommended Alice for the job. He wrote a reference for,Henry,Alice,He,6,14862,8616,M
Clara met Paul at the store. She bought a gift for,Clara,Paul,She,0,3362,27443,F
Liam visited Kate at home. He brought flowers for,Liam,Kate,He,1,16693,31684,M
Tara called Bob on the phone. She left a message for,Tara,Bob,She,2,5811,37723,F
Derek helped Emma move. He carried the boxes for,Derek,Emma,He,3,18966,20893,M
Iris thanked Henry warmly. She wrote a letter for,Iris,Henry,She,4,8616,34230,F
Fred surprised Emma at the party. He baked a cake for,Fred,Emma,He,5,18966,8559,M
Clara recommended Jack for the job. She wrote a reference for,Clara,Jack,She,6,3619,27443,F
Harry met Gina at the store. He bought a gift for,Harry,Gina,He,0,43002,5850,M
Kate visited Sam at home. She brought flowers for,Kate,Sam,She,1,3409,16693,F
Derek called Rose on the phone. He left a message for,Derek,Rose,He,2,8049,20893,M
Rose helped Paul move. She carried the boxes for,Rose,Paul,She,3,3362,8049,F
Fred thanked Tara warmly. He wrote a letter for,Fred,Tara,He,4,37723,8559,M
Grace surprised Brian at the party. She baked a cake for,Grace,Brian,She,5,8403,16156,F
Noah recommended Amy for the job. He wrote a reference for,Noah,Amy,He,6,14235,18394,M
Tara met Jack at the store. She bought a gift for,Tara,Jack,She,0,3619,37723,F
Frank visited Kate at home. He brought flowers for,Frank,Kate,He,1,16693,5278,M
Olivia called Xander on the phone. She left a message for,Olivia,Xander,She,2,46122,33911,F
Sam helped Alice move. He carried the boxes for,Sam,Alice,He,3,14862,3409,M
Kate thanked Victor warmly. She wrote a letter for,Kate,Victor,She,4,12622,16693,F
Harry surprised Grace at the party. He baked a cake for,Harry,Grace,He,5,16156,5850,M
Rose recommended Harry for the job. She wrote a reference for,Rose,Harry,She,6,5850,8049,F
Zach met Mia at the store. He bought a gift for,Zach,Mia,He,0,32189,18825,M
Tara visited Brian at home. She brought flowers for,Tara,Brian,She,1,8403,37723,F
Fred called Mia on the phone. He left a message for,Fred,Mia,He,2,32189,8559,M
Iris helped Paul move. She carried the boxes for,Iris,Paul,She,3,3362,34230,F
Brian thanked Iris warmly. He wrote a letter for,Brian,Iris,He,4,34230,8403,M
Olivia surprised David at the party. She baked a cake for,Olivia,David,She,5,3271,33911,F
Xander recommended Gina for the job. He wrote a reference for,Xander,Gina,He,6,43002,46122,M
Rose met Brian at the store. She bought a gift for,Rose,Brian,She,0,8403,8049,F
Brian visited Clara at home. He brought flowers for,Brian,Clara,He,1,27443,8403,M
Clara called Jack on the phone. She left a message for,Clara,Jack,She,2,3619,27443,F
Harry helped Alice move. He carried the boxes for,Harry,Alice,He,3,14862,5850,M
Grace thanked Xander warmly. She wrote a letter for,Grace,Xander,She,4,46122,16156,F
Henry surprised Rose at the party. He baked a cake for,Henry,Rose,He,5,8049,8616,M
Emma recommended Fred for the job. She wrote a reference for,Emma,Fred,She,6,8559,18966,F
Bob met Gina at the store. He bought a gift for,Bob,Gina,He,0,43002,5811,M
Grace visited Derek at home. She brought flowers for,Grace,Derek,She,1,20893,16156,F
Jack called Emma on the phone. He left a message for,Jack,Emma,He,2,18966,3619,M
